Date,Rate
01/31/1970,6.5
02/28/1970,9.5
03/31/1970,9.6
04/30/1970,10.4
05/31/1970,12.7
06/30/1970,12.5
07/31/1970,12.3
08/31/1970,14.5
09/30/1970,14.7
10/31/1970,17.4
11/30/1970,19.6
12/31/1970,21.7
01/31/1971,27.4
02/28/1971,29.9
03/31/1971,29.6
04/30/1971,29.8
05/31/1971,31.9
06/30/1971,35.1
07/31/1971,39.2
08/31/1971,41.2
09/30/1971,39.6
10/31/1971,35.7
11/30/1971,35.9
12/31/1971,39.1
01/31/1972,46.8
02/29/1972,47.2
03/31/1972,51.8
04/30/1972,57.8
05/31/1972,56.5
06/30/1972,60.1
07/31/1972,61.2
08/31/1972,56.8
09/30/1972,59.2
10/31/1972,65.2
11/30/1972,68.7
12/31/1972,64.1
01/31/1973,63.2
02/28/1973,69.5
03/31/1973,76.5
04/30/1973,75.9
05/31/1973,79.1
06/30/1973,64.8
07/31/1973,56.9
08/31/1973,58.4
09/30/1973,55.4
10/31/1973,50.5
11/30/1973,44.7
12/31/1973,43.8
01/31/1974,29.6
02/28/1974,22.3
03/31/1974,14
04/30/1974,12.2
05/31/1974,12.1
06/30/1974,19.9
07/31/1974,22.6
08/31/1974,23.9
09/30/1974,27.4
10/31/1974,30.2
11/30/1974,34.5
12/31/1974,40.1
01/31/1975,52.9
02/28/1975,57.5
03/31/1975,68.3
04/30/1975,79.5
05/31/1975,80.5
06/30/1975,110.5
07/31/1975,177.3
08/31/1975,233.4
09/30/1975,257.7
10/31/1975,292.2
11/30/1975,310.3
12/31/1975,335
01/31/1976,360.4
02/29/1976,423.6
03/31/1976,566.3
04/30/1976,713.4
05/31/1976,777.6
06/30/1976,644.3
07/31/1976,475.8
08/31/1976,396.1
09/30/1976,395
10/31/1976,371.8
11/30/1976,367.4
12/31/1976,347.5
01/31/1977,344
02/28/1977,303.9
03/31/1977,215.8
04/30/1977,150
05/31/1977,137.5
06/30/1977,148.9
07/31/1977,156.3
08/31/1977,170.4
09/30/1977,164.9
10/31/1977,174.7
11/30/1977,177.5
12/31/1977,160.4
01/31/1978,173.3
02/28/1978,168.1
03/31/1978,172.9
04/30/1978,186
05/31/1978,191.9
06/30/1978,188.7
07/31/1978,186.7
08/31/1978,177.6
09/30/1978,172.7
10/31/1978,166.1
11/30/1978,165.5
12/31/1978,169.8
01/31/1979,168.4
02/28/1979,171.6
03/31/1979,167.3
04/30/1979,157.5
05/31/1979,153.3
06/30/1979,160.9
07/31/1979,162.2
08/31/1979,171.1
09/30/1979,172.3
10/31/1979,158.8
11/30/1979,150.1
12/31/1979,139.7
01/31/1980,127.9
02/29/1980,123.5
03/31/1980,119.4
04/30/1980,117.7
05/31/1980,115.4
06/30/1980,107.6
07/31/1980,102.6
08/31/1980,88
09/30/1980,84
10/31/1980,89.8
11/30/1980,88.9
12/31/1980,87.6
01/31/1981,83.6
02/28/1981,81.6
03/31/1981,81.9
04/30/1981,84.8
05/31/1981,87.9
06/30/1981,94.3
07/31/1981,104.9
08/31/1981,113.8
09/30/1981,119.1
10/31/1981,115.5
11/30/1981,120.7
12/31/1981,131.3
01/31/1982,146.8
02/28/1982,149.4
03/31/1982,146.4
04/30/1982,137.9
05/31/1982,128
06/30/1982,125
07/31/1982,137.2
08/31/1982,152.1
09/30/1982,175.4
10/31/1982,193.3
11/30/1982,204.6
12/31/1982,209.7
01/31/1983,221
02/28/1983,244.6
